table_name,field_name,data_type,nullable,is_pk,is_fk
student_enrollment,enrollment_id,integer,false,true,false
student_enrollment,student_id,varchar(20),false,false,false
student_enrollment,term_code,varchar(10),false,false,false
student_enrollment,enrollment_status,varchar(20),true,false,false
student_enrollment,credit_hours,integer,true,false,false
student_enrollment,gpa_cumulative,decimal(4,2),true,false,false
student_enrollment,program_code,varchar(10),true,false,true
course_grades,grade_id,integer,false,true,false
course_grades,student_id,varchar(20),false,false,true
course_grades,course_crn,varchar(10),false,false,true
course_grades,midterm_grade,varchar(5),true,false,false
course_grades,final_grade,varchar(5),true,false,false
course_grades,grade_points,decimal(3,1),true,false,false
course_grades,repeat_flag,boolean,true,false,false
financial_aid,aid_id,integer,false,true,false
financial_aid,student_id,varchar(20),false,false,true
financial_aid,aid_year,varchar(9),false,false,false
financial_aid,aid_type,varchar(50),true,false,false
financial_aid,amount_awarded,decimal(10,2),true,false,false
financial_aid,disbursement_date,date,true,false,false
